event_id;competition_id;cutoff_date;delta;event_name;favourite;guest;home
31127631;81;2021-12-22 17:30:00;0.81;Verona - Fiorentina;AWAY;Fiorentina;Verona
31127632;81;2021-12-22 19:45:00;2.35;Empoli - Milan;AWAY;Milan;Empoli
31127633;81;2021-12-22 19:45:00;12.71;Napoli - Spezia;HOME;Spezia;Napoli
31128879;9404054;2021-12-22 17:45:00;5.85;Heerenveen - Feyenoord;AWAY;Feyenoord;Heerenveen
31128884;9404054;2021-12-22 17:45:00;0.02;Willem II - NEC Nijmegen;HOME;NEC Nijmegen;Willem II
31127923;117;2021-12-22 18:00:00;5.78;Granada - Atletico Madrid;AWAY;Atletico Madrid;Granada
31115029;55;2021-12-22 20:00:00;2.91;Bordeaux - Lille;AWAY;Lille;Bordeaux
31115031;55;2021-12-22 20:00:00;1.8;Clermont - Strasburgo;AWAY;Strasburgo;Clermont
31127628;81;2021-12-22 17:30:00;11.17;Inter - Torino;HOME;Torino;Inter
31127630;81;2021-12-22 17:30:00;5.42;Roma - Sampdoria;HOME;Sampdoria;Roma
31115032;55;2021-12-22 20:00:00;1.83;Nizza - Lens;HOME;Lens;Nizza
31115033;55;2021-12-22 20:00:00;2.2;Montpellier - Angers;HOME;Angers;Montpellier
31115034;55;2021-12-22 20:00:00;6.68;Lorient - PSG;AWAY;PSG;Lorient
31115035;55;2021-12-22 20:00:00;5.36;Marsiglia - Reims;HOME;Reims;Marsiglia
31115036;55;2021-12-22 20:00:00;0.43;Troyes - Brest;HOME;Brest;Troyes
31115038;55;2021-12-22 20:00:00;0.65;St Etienne - Nantes;HOME;Nantes;St Etienne
31115041;55;2021-12-22 20:00:00;0.98;Monaco - Rennes;HOME;Rennes;Monaco
31115042;55;2021-12-22 20:00:00;7.99;Lione - Metz;HOME;Metz;Lione
31128882;9404054;2021-12-22 20:00:00;148.94;Ajax - Fortuna Sittard;HOME;Fortuna Sittard;Ajax
31128889;9404054;2021-12-22 20:00:00;2.46;Utrecht - FC Twente;HOME;FC Twente;Utrecht
31127924;117;2021-12-22 20:30:00;0.82;Athletic Bilbao - Real Madrid;AWAY;Real Madrid;Athletic Bilbao
31128880;9404054;2021-12-22 19:00:00;2.55;Heracles - Cambuur Leeuwarden;HOME;Cambuur Leeuwarden;Heracles
