event_id;competition_id;cutoff_date;delta;event_name;favourite;guest;home
31146586;10932509;2022-01-02 14:00:00;;Southampton - Newcastle;;;
31146581;10932509;2022-01-02 14:00:00;0.12;Everton - Brighton;AWAY;Brighton;Everton
31146582;10932509;2022-01-02 14:00:00;1.81;Leeds - Burnley;HOME;Burnley;Leeds
31146589;10932509;2022-01-02 14:00:00;0.27;Brentford - Aston Villa;AWAY;Aston Villa;Brentford
31142751;99;2022-01-02 18:30:00;3.74;Vizela - Belenenses;HOME;Belenenses;Vizela
31128306;117;2022-01-02 20:00:00;1.39;Maiorca - Barcellona;AWAY;Barcellona;Maiorca
31128305;117;2022-01-02 15:15:00;9.56;Atletico Madrid - Rayo Vallecano;HOME;Rayo Vallecano;Atletico Madrid
31128309;117;2022-01-02 15:15:00;0.86;Elche - Granada;HOME;Granada;Elche
31146535;10932509;2022-01-02 16:30:00;0.14;Chelsea - Liverpool;HOME;Liverpool;Chelsea
31128311;117;2022-01-02 17:30:00;3.12;Betis Siviglia - Celta Vigo;HOME;Celta Vigo;Betis Siviglia
31128314;117;2022-01-02 17:30:00;1.68;Alaves - Real Sociedad;AWAY;Real Sociedad;Alaves
