event_id;competition_id;cutoff_date;delta;event_name;favourite;guest;home
31145077;99;2022-01-09 20:30:00;0.23;Belenenses - Arouca;HOME;Arouca;Belenenses
31139592;117;2022-01-09 20:00:00;0.18;Villarreal - Atletico Madrid;AWAY;Atletico Madrid;Villarreal
31128331;55;2022-01-09 19:45:00;1.48;Lione - PSG;AWAY;PSG;Lione
31143311;81;2022-01-09 19:45:00;7.36;Inter - Lazio;HOME;Lazio;Inter
31143313;81;2022-01-09 19:45:00;7.97;Verona - Salernitana;HOME;Salernitana;Verona
31145078;99;2022-01-09 18:00:00;6.71;Braga - Famalicao;HOME;Famalicao;Braga
31145108;99;2022-01-09 18:00:00;16.24;Benfica - Ferreira;HOME;Ferreira;Benfica
31139581;117;2022-01-09 17:30:00;2.56;Alaves - Athletic Bilbao;AWAY;Athletic Bilbao;Alaves
31139587;117;2022-01-09 17:30:00;5.03;Osasuna - Cadiz;HOME;Cadiz;Osasuna
31143312;81;2022-01-09 17:30:00;1.28;Roma - Juventus;AWAY;Juventus;Roma
31143314;81;2022-01-09 17:30:00;2.04;Genoa - Spezia;HOME;Spezia;Genoa
31143317;81;2022-01-09 15:30:00;10.12;Napoli - Sampdoria;HOME;Sampdoria;Napoli
31145085;99;2022-01-09 15:30:00;1.23;Portimonense - Maritimo;HOME;Maritimo;Portimonense
31139589;117;2022-01-09 13:00:00;0.04;Rayo Vallecano - Betis Siviglia;HOME;Betis Siviglia;Rayo Vallecano
31139590;117;2022-01-09 15:15:00;6.55;Siviglia - Getafe;HOME;Getafe;Siviglia
31128332;55;2022-01-09 16:05:00;1.6;Nantes - Monaco;AWAY;Monaco;Nantes
31132281;59;2022-01-09 16:30:00;1.33;Bochum - Wolfsburg;AWAY;Wolfsburg;Bochum
31128326;55;2022-01-09 14:00:00;207.98;Angers - St Etienne;HOME;St Etienne;Angers
31128330;55;2022-01-09 14:00:00;0.69;Clermont - Reims;HOME;Reims;Clermont
31128333;55;2022-01-09 14:00:00;3.81;Metz - Strasburgo;AWAY;Strasburgo;Metz
31143315;81;2022-01-09 13:30:00;0.02;Empoli - Sassuolo;AWAY;Sassuolo;Empoli
31132779;59;2022-01-09 14:30:00;0.16;Hertha Berlino - Colonia;AWAY;Colonia;Hertha Berlino
31143310;81;2022-01-09 11:30:00;4.98;Venezia - Milan;AWAY;Milan;Venezia
31128327;55;2022-01-09 12:00:00;0.36;Brest - Nizza;AWAY;Nizza;Brest
