event_id;competition_id;cutoff_date;delta;event_name;favourite;guest;home
31162596;81;2022-01-15 19:45:00;;Juventus - Udinese;;;
31140425;9404054;2022-01-15 19:00:00;;FC Twente - Heerenveen;;;
31140426;9404054;2022-01-15 19:00:00;;Feyenoord - Vitesse Arnhem;;;
31139235;59;2022-01-15 14:30:00;;Wolfsburg - Hertha Berlino;;;
31139236;59;2022-01-15 14:30:00;;Union Berlino - Hoffenheim;;;
31139350;59;2022-01-15 14:30:00;;Magonza - Bochum;;;
31139368;59;2022-01-15 14:30:00;;Colonia - Bayern Monaco;;;
31139371;59;2022-01-15 14:30:00;;Stoccarda - RB Lipsia;;;
31140438;9404054;2022-01-15 17:45:00;0.2;NEC Nijmegen - Heracles;AWAY;Heracles;NEC Nijmegen
31154039;12199689;2022-01-15 13:00:00;5.54;US Cremonese - Como;HOME;Como;US Cremonese
31155021;12199689;2022-01-15 13:00:00;0.98;Reggina - Brescia;AWAY;Brescia;Reggina
31155020;12199689;2022-01-15 15:15:00;0.3;Pisa - Frosinone;HOME;Frosinone;Pisa
31150340;10932509;2022-01-15 15:00:00;1.78;Newcastle - Watford;HOME;Watford;Newcastle
31150354;10932509;2022-01-15 15:00:00;1.71;Norwich - Everton;AWAY;Everton;Norwich
31150360;10932509;2022-01-15 15:00:00;1.84;Wolverhampton - Southampton;HOME;Southampton;Wolverhampton
31162595;81;2022-01-15 14:00:00;0.94;Sampdoria - Torino;AWAY;Torino;Sampdoria
31150327;10932509;2022-01-15 12:30:00;3.64;Manchester City - Chelsea;HOME;Chelsea;Manchester City
31158842;99;2022-01-15 15:30:00;1.17;Boavista - Gil Vicente;AWAY;Gil Vicente;Boavista
31139279;59;2022-01-15 17:30:00;0.14;Monchengladbach - Leverkusen;AWAY;Leverkusen;Monchengladbach
31150361;10932509;2022-01-15 17:30:00;0.52;Aston Villa - Manchester United;AWAY;Manchester United;Aston Villa
31155367;99;2022-01-15 18:00:00;15.24;Benfica - Moreirense;HOME;Moreirense;Benfica
31158822;99;2022-01-15 18:00:00;5.61;Braga - Maritimo;HOME;Maritimo;Braga
31158844;99;2022-01-15 20:30:00;4.31;Estoril - Arouca;HOME;Arouca;Estoril
31140437;9404054;2022-01-15 20:00:00;1.71;Go Ahead Eagles - RKC Waalwijk;HOME;RKC Waalwijk;Go Ahead Eagles
31143809;55;2022-01-15 20:00:00;11.7;PSG - Brest;HOME;Brest;PSG
31143813;55;2022-01-15 16:00:00;2.14;St Etienne - Lens;AWAY;Lens;St Etienne
31162590;81;2022-01-15 17:00:00;7.77;Salernitana - Lazio;AWAY;Lazio;Salernitana
